,Track Number,Track Title,Album Name,Year Released,Lyric
0,1,Woman,Planet Her,2021,"b'Hey, woman\n'"
1,1,Woman,Planet Her,2021,"b'Hey, woman\n'"
2,1,Woman,Planet Her,2021,b'Woman\n'
3,1,Woman,Planet Her,2021,b'Let me be your woman\n'
4,1,Woman,Planet Her,2021,"b'Woman, woman, woman (\n'"
5,1,Woman,Planet Her,2021,b'I can be your woman\n'
6,1,Woman,Planet Her,2021,"b'Woman, woman, woman (\n'"
7,1,Woman,Planet Her,2021,b'Let me be your woman\n'
8,1,Woman,Planet Her,2021,"b'Woman, woman, woman (\n'"
9,1,Woman,Planet Her,2021,b'I can be your woman\n'
10,1,Woman,Planet Her,2021,"b'Woman, woman, woman (\n'"
11,1,Woman,Planet Her,2021,b'What you need?\n'
12,1,Woman,Planet Her,2021,"b'She give tenfold, come here, papa, plant your seed\n'"
13,1,Woman,Planet Her,2021,b'She can grow right from her womb a family\n'
14,1,Woman,Planet Her,2021,"b""Provide lovin' overlooked and unappreciated, you see (\n"""
15,1,Woman,Planet Her,2021,b'You can reciprocate\n'
16,1,Woman,Planet Her,2021,"b""I got delicious taste, you need a woman's touch in your place\n"""
17,1,Woman,Planet Her,2021,b'Just protect her and keep her safe\n'
18,1,Woman,Planet Her,2021,"b'Baby, worship my hips and waist\n'"
19,1,Woman,Planet Her,2021,b'So feminine with grace\n'
20,1,Woman,Planet Her,2021,"b'I touch your soul when you hear me say, ""Boy""\n'"
21,1,Woman,Planet Her,2021,b'Let me be your woman\n'
22,1,Woman,Planet Her,2021,b'Woman\n'
23,1,Woman,Planet Her,2021,b'L\xd0\xb5t me be your woman\n'
24,1,Woman,Planet Her,2021,"b'Woman, woman, woman\n'"
25,1,Woman,Planet Her,2021,b'I can be your woman\n'
26,1,Woman,Planet Her,2021,"b'Woman, woman, woman\n'"
27,1,Woman,Planet Her,2021,b'L\xd0\xb5t me be your woman\n'
28,1,Woman,Planet Her,2021,"b'Woman, woman, woman (\n'"
29,1,Woman,Planet Her,2021,b'I can be your woman\n'
30,1,Woman,Planet Her,2021,"b'Woman, woman, woman\n'"
31,1,Woman,Planet Her,2021,"b""I can be your lady, I'm a woman\n"""
32,1,Woman,Planet Her,2021,"b""I'm a motherfucker, but they got a problem\n"""
33,1,Woman,Planet Her,2021,b'Put some babies in your life and take away the drama\n'
34,1,Woman,Planet Her,2021,b'Put the paper in a picture like a diorama\n'
35,1,Woman,Planet Her,2021,b'Gotta face a lot of people of the opposite\n'
36,1,Woman,Planet Her,2021,"b'\'Cause the world told me, ""We ain\'t got the common sense""\n'"
37,1,Woman,Planet Her,2021,"b""Gotta prove it to myself that I'm on top of shit\n"""
38,1,Woman,Planet Her,2021,b'And you would never know a god without the goddesses\n'
39,1,Woman,Planet Her,2021,"b""Honest as fuckin' honest get\n"""
40,1,Woman,Planet Her,2021,b'And I could be on everything\n'
41,1,Woman,Planet Her,2021,"b'I mean I could be the leader, head of all the states\n'"
42,1,Woman,Planet Her,2021,"b""I could smile and jiggle it 'til his pockets empty\n"""
43,1,Woman,Planet Her,2021,"b'I could be the CEO, just look at Robyn Fenty\n'"
44,1,Woman,Planet Her,2021,"b""And I'ma be there for you 'cause you on my team, girl\n"""
45,1,Woman,Planet Her,2021,"b""Don't ever think you ain't hella these niggas dream girl\n"""
46,1,Woman,Planet Her,2021,b'They wanna pit us against each other\n'
47,1,Woman,Planet Her,2021,"b""When we succeedin' for no reasons\n"""
48,1,Woman,Planet Her,2021,b'They wanna see us end up like we Regina on Mean Girls\n'
49,1,Woman,Planet Her,2021,"b""When we succeedin' for no reasons\n"""
